Entity,Code,Year,Annual CO₂ emissions
Kazakhstan,KAZ,1830,1216
Kazakhstan,KAZ,1831,1459
Kazakhstan,KAZ,1832,973
Kazakhstan,KAZ,1833,1216
Kazakhstan,KAZ,1850,7537
Kazakhstan,KAZ,1855,22856
Kazakhstan,KAZ,1858,32095
Kazakhstan,KAZ,1859,34040
Kazakhstan,KAZ,1860,44982
Kazakhstan,KAZ,1861,57139
Kazakhstan,KAZ,1862,51547
Kazakhstan,KAZ,1863,53978
Kazakhstan,KAZ,1864,60543
Kazakhstan,KAZ,1865,57868
Kazakhstan,KAZ,1866,182845
Kazakhstan,KAZ,1867,209834
Kazakhstan,KAZ,1868,174578
Kazakhstan,KAZ,1869,236823
Kazakhstan,KAZ,1870,257004
Kazakhstan,KAZ,1871,346967
Kazakhstan,KAZ,1872,356207
Kazakhstan,KAZ,1873,334324
Kazakhstan,KAZ,1874,405808
Kazakhstan,KAZ,1875,467081
Kazakhstan,KAZ,1876,579900
Kazakhstan,KAZ,1877,591814
Kazakhstan,KAZ,1878,773443
Kazakhstan,KAZ,1879,793624
Kazakhstan,KAZ,1880,931001
Kazakhstan,KAZ,1881,980603
Kazakhstan,KAZ,1882,1032879
Kazakhstan,KAZ,1883,1175605
Kazakhstan,KAZ,1884,1193597
Kazakhstan,KAZ,1885,1300095
Kazakhstan,KAZ,1886,1333405
Kazakhstan,KAZ,1887,1410969
Kazakhstan,KAZ,1888,1471755
Kazakhstan,KAZ,1889,1589437
Kazakhstan,KAZ,1890,1800000
Kazakhstan,KAZ,1891,1981872
Kazakhstan,KAZ,1892,2097852
Kazakhstan,KAZ,1893,2458922
Kazakhstan,KAZ,1894,2504390
Kazakhstan,KAZ,1895,2877617
Kazakhstan,KAZ,1896,2929407
Kazakhstan,KAZ,1897,3387005
Kazakhstan,KAZ,1898,3798649
Kazakhstan,KAZ,1899,4406754
Kazakhstan,KAZ,1900,4992004
Kazakhstan,KAZ,1901,5125004
Kazakhstan,KAZ,1902,4949940
Kazakhstan,KAZ,1903,4841983
Kazakhstan,KAZ,1904,5387114
Kazakhstan,KAZ,1905,4808672
Kazakhstan,KAZ,1906,5484858
Kazakhstan,KAZ,1907,6143537
Kazakhstan,KAZ,1908,6181224
Kazakhstan,KAZ,1909,6525031
Kazakhstan,KAZ,1910,6399082
Kazakhstan,KAZ,1911,6634446
Kazakhstan,KAZ,1912,7515359
Kazakhstan,KAZ,1913,8164069
Kazakhstan,KAZ,1914,7368257
Kazakhstan,KAZ,1915,6763069
Kazakhstan,KAZ,1916,7208267
Kazakhstan,KAZ,1917,6633960
Kazakhstan,KAZ,1918,2645657
Kazakhstan,KAZ,1919,2259787
Kazakhstan,KAZ,1920,2060651.1
Kazakhstan,KAZ,1921,2234743
Kazakhstan,KAZ,1922,2725409
Kazakhstan,KAZ,1923,3010618
Kazakhstan,KAZ,1924,3586870
Kazakhstan,KAZ,1925,3540187
Kazakhstan,KAZ,1926,5129380
Kazakhstan,KAZ,1927,6377199
Kazakhstan,KAZ,1928,7103472
Kazakhstan,KAZ,1929,7651669
Kazakhstan,KAZ,1930,10395429
Kazakhstan,KAZ,1931,12485385
Kazakhstan,KAZ,1932,14069241
Kazakhstan,KAZ,1933,15715148
Kazakhstan,KAZ,1934,19012654
Kazakhstan,KAZ,1935,21527010
Kazakhstan,KAZ,1936,24692850
Kazakhstan,KAZ,1937,25243852
Kazakhstan,KAZ,1938,26643024
Kazakhstan,KAZ,1939,26969240
Kazakhstan,KAZ,1940,32325200
Kazakhstan,KAZ,1941,28405022
Kazakhstan,KAZ,1942,15410267
Kazakhstan,KAZ,1943,16083048
Kazakhstan,KAZ,1944,23323412
Kazakhstan,KAZ,1945,24712652
Kazakhstan,KAZ,1946,27787980
Kazakhstan,KAZ,1947,33469296
Kazakhstan,KAZ,1948,35630964
Kazakhstan,KAZ,1949,40509256
Kazakhstan,KAZ,1950,45172436
Kazakhstan,KAZ,1951,48969176
Kazakhstan,KAZ,1952,52446890
Kazakhstan,KAZ,1953,55497036
Kazakhstan,KAZ,1954,60628756
Kazakhstan,KAZ,1955,68757180
Kazakhstan,KAZ,1956,75382990
Kazakhstan,KAZ,1957,82503340
Kazakhstan,KAZ,1958,88075490
Kazakhstan,KAZ,1959,92625870
Kazakhstan,KAZ,1960,96467340
Kazakhstan,KAZ,1961,99489820
Kazakhstan,KAZ,1962,104415490
Kazakhstan,KAZ,1963,111949260
Kazakhstan,KAZ,1964,119029920
Kazakhstan,KAZ,1965,126268980
Kazakhstan,KAZ,1966,133350820
Kazakhstan,KAZ,1967,139409340
Kazakhstan,KAZ,1968,143288750
Kazakhstan,KAZ,1969,149192270
Kazakhstan,KAZ,1970,156965000
Kazakhstan,KAZ,1971,166437680
Kazakhstan,KAZ,1972,175003420
Kazakhstan,KAZ,1973,182271620
Kazakhstan,KAZ,1974,189074980
Kazakhstan,KAZ,1975,198610240
Kazakhstan,KAZ,1976,206067310
Kazakhstan,KAZ,1977,212882820
Kazakhstan,KAZ,1978,219991650
Kazakhstan,KAZ,1979,221656770
Kazakhstan,KAZ,1980,230263420
Kazakhstan,KAZ,1981,225577980
Kazakhstan,KAZ,1982,229742240
Kazakhstan,KAZ,1983,232791630
Kazakhstan,KAZ,1984,234663020
